X1,X2
4.645332791,6.82229407
4.784032287,6.422882572
-5.85178639,5.774330585
-7.459591542,6.45641476
4.918910996,6.961479381
-6.010190064,5.091338896
1.066864432,-8.146954778
6.516788773,6.649863464
5.133779868,5.525236642
-6.809855082,4.935898655
6.35869258,6.532479723
3.30825879,6.19606614
0.1820936895,-5.193445726
1.017728411,-6.289135716
5.285472813,7.894073461
5.474933725,4.547031524
-0.1283080622,-5.846343722
-1.250104973,-8.244053077
-5.91644922,5.638097035
1.681092351,-5.835417048
-6.869463885,6.467694305
-0.07229182841,-5.913152968
6.270851773,7.8541683
-7.281449439,5.924844693
5.434025985,6.903589188
-5.882848626,6.307262839
4.870516196,6.843922916
-0.150841259,-7.437773135
-7.496651172,6.757993661
-0.1052321873,-5.730257985
7.509274254,7.027059621
6.066435608,6.361777349
-7.527564259,7.546882001
4.752749163,7.700718728
1.64654625,-6.542354749
5.328508914,8.380690475
0.7536315501,-7.940433064
3.375650241,8.520955973
1.81350931,-7.16283707
0.05782981967,-6.041162207
-0.09709648959,-6.045547849
5.564822949,8.452330722
-8.487946416,4.88313247
5.374719422,7.652943586
-6.793107931,7.301325608
-7.675633362,6.161664355
-7.323622106,6.925439362
6.010324154,6.371061476
5.134363534,6.365864825
1.034569826,-2.926036099
3.942593289,7.642078789
5.364948114,6.411930209
-6.252136116,5.789006471
3.755810218,7.516496052
2.389334247,-5.166572868
-6.444819726,5.731123968
-7.93276713,3.976774127
4.698233251,7.849056956
-7.132218826,5.35805516
2.007344062,-6.779946214
1.38257066,-6.538129803
3.642181121,6.950949822
4.612921911,8.458144604
4.571100633,8.278745014
-1.550769005,-6.798151617
-5.736598068,5.973036046
-7.143487668,5.422044401
-1.038191143,-5.063451285
4.969816997,5.920684252
2.247809489,-7.020602356
6.921836281,5.738739228
1.060708952,-6.904082246
6.558535427,7.294644898
4.596194181,8.184160452
0.9626557494,-7.887399755
5.011608535,6.147043837
4.914864699,6.436768205
-8.508647375,6.806309308
4.196737701,7.149766552
3.928976112,7.068323112
-7.721815706,5.873206388
-6.333418685,5.990163934
-8.044695631,6.165241303
1.253920248,-7.815477743
0.9688735439,-6.356416565
5.311932691,9.013033297
5.092346351,5.770171925
-7.262719355,5.621201503
0.5604548735,-6.247519204
-0.2077054531,-7.209756117
-6.646921507,3.741272248
0.9659245337,-7.071739626
4.756324478,5.95624526
-6.076680274,5.914559258
-6.395007721,6.113319783
-5.79719754,5.0906093
-7.699268055,5.930033642
4.972717891,5.701933111
-7.663405986,7.423346157
0.6829941987,-5.988026701
0.4696207693,-9.498748445
4.874539882,7.59318717
1.851455596,-7.454126914
-7.353317656,7.155580682
7.57741205,7.911545684
0.8279433257,-6.245603466
-6.263743359,6.528933968
5.181822839,8.441347865
-0.03207328897,-7.131383205
-7.569206631,5.724922452
1.466349448,-7.58422161
0.527816363,-5.293116707
-0.01061217157,-7.166145107
4.80061413,7.541878354
-5.036900684,4.900722255
-0.7514444154,-7.736917001
3.907386898,8.567336768
-7.458821021,7.095463433
5.133343496,6.409495257
5.902653473,8.177298737
4.95727395,8.504721221
0.02524153549,-6.116309461
-6.401566019,5.054644011
-8.601503523,6.189179603
-7.756612316,5.434382104
-1.053128918,-7.33235177
-0.3474884546,-6.834266784
4.827793306,5.296364122
-9.672281013,5.064607746
6.056285027,7.059609863
-6.731955446,2.99380189
-8.013876668,6.202535098
1.081951157,-7.106777941
-6.794163201,6.413375528
-7.025761563,3.575913427
-7.647757107,5.022901085
1.903559895,-6.96182807
-5.434788712,4.519990878
5.060299731,6.99858617
5.018032221,6.891587293
0.5408770496,-5.238157805
2.3960741,-7.395711349
1.298312758,-5.363232346
1.752308897,-8.034016585
3.565464813,7.07535227
-6.523433002,6.155201104
0.2359917643,-6.268505776
5.220484167,6.366106222
-7.996314799,6.666186524
2.677386147,8.37226888
-6.975981827,5.342456022
-8.674995021,5.356122574
6.381810289,7.241476443
-7.674274705,5.395565542
4.426791441,9.35588492
0.05875795263,-5.552898061
6.1866912,7.03832711
-8.617863162,5.516709363
1.904122159,-6.293167897
-5.647270103,6.473935349
-8.711821285,6.422011992
-5.513437349,6.072944329
-7.052770483,5.019630349
-0.2686703367,-5.971809295
-6.329939448,4.97440028
5.58254704,6.441723475
4.794745244,6.907073093
6.025570013,5.327507793
-6.048487341,5.053696183
0.9415797099,-6.86163191
1.675905695,-7.709209591
2.85325494,-7.99461181
4.414334565,5.955105712
5.739293889,4.788646731
7.38864609,5.937196855
-5.945872866,6.077366449
6.54879948,7.030749272
0.3000692533,-7.394230845
-6.841649792,6.157690008
-7.433410829,6.098890031
2.091825787,-5.034639251
0.5968274848,-5.250626857
-6.214543264,5.736954201
4.490221761,6.444717073
-7.747660456,4.839471975
6.208515831,7.482819619
-6.654811897,5.980012313
-7.206970503,5.695207205
-8.166181393,7.387376168
7.115574368,6.877306027
-0.7774576531,-6.589892831
5.389676367,6.783326605
-7.313677082,5.210355129
-7.695923236,6.534986175
-6.079687396,5.876032992
6.675708016,6.946102494
5.605119709,4.937202745
-6.265176743,6.061281419
-6.993386412,6.204581058
0.4447786079,-8.127893739
0.9464735835,-5.869542012
5.632031598,7.45815966
7.230752379,6.991338411
5.252465033,6.679452584
-0.0916781215,-7.790417447
5.318660056,5.887227776
6.8505377,6.570626524
-0.1063658732,-6.403334805
6.437573637,8.39943145
-6.219743008,5.697688342
3.764303867,7.5482791
1.149280675,-5.636897252
-1.10324481,-7.664265521
3.832750178,7.511071591
-7.533224785,3.76329467
3.458124344,7.167710076
1.460301681,-5.853213296
-8.098789637,5.589402673
1.738866644,-5.144617081
-6.875159791,5.290299763
2.062425594,-6.128409595
